Код	"маркет bid"	"маркет cbid"	Кластер
25466	40	40	000
23585	40	40	000
59465	40	40	000
38863	40	40	000
40282	40	40	000
23046	40	40	000
17282	40	40	000
27466	40	40	000
20894	40	40	000
24816	40	40	000
61167	21	21	000
22297	40	40	000
50541	40	40	000
25742	40	40	000
60959	40	40	000
43194	40	40	000
62437	40	40	000
48108	40	40	000
58420	36	36	000
55546	31	31	000
58305	38	38	000
60910	101	101	000
22312	40	40	000
6251	40	40	000
23407	38	38	000
53724	40	40	000
800052	40	40	000
50966	40	40	000
60968	56	56	000
23550	40	40	000
20782	40	40	000
24676	40	40	000
43232	40	40	000
23346	40	40	000
7794	40	40	000
21107	38	38	000
22288	40	40	000
46614	40	40	000
25474	40	40	000
22230	40	40	000
23850	40	40	000
25090	84	84	000
22303	44	44	000
24646	41	41	000
22307	41	41	000
